Timestep,Region,n2oem
USA,2463,1.61
2463,USA,1.61
USA,2464,1.61
2464,USA,1.61
USA,2465,1.61
2465,USA,1.61
USA,2466,1.61
2466,USA,1.61
USA,2467,1.61
2467,USA,1.61
USA,2468,1.61
2468,USA,1.61
USA,2469,1.61
2469,USA,1.61
USA,2470,1.61
2470,USA,1.61
USA,2471,1.61
2471,USA,1.61
USA,2472,1.61
2472,USA,1.61
USA,2473,1.61
2473,USA,1.61
USA,2474,1.61
2474,USA,1.61
USA,2475,1.61
2475,USA,1.61
USA,2476,1.61
2476,USA,1.61
USA,2477,1.61
2477,USA,1.61
USA,2478,1.61
2478,USA,1.61
USA,2479,1.61
2479,USA,1.61
USA,2480,1.61
2480,USA,1.61
USA,2481,1.61
2481,USA,1.61
USA,2482,1.61
2482,USA,1.61
USA,2483,1.61
2483,USA,1.61
USA,2484,1.61
2484,USA,1.61
USA,2485,1.61
2485,USA,1.61
USA,2486,1.61
2486,USA,1.61
USA,2487,1.61
2487,USA,1.61
USA,2488,1.61
2488,USA,1.61
USA,2489,1.61
2489,USA,1.61
USA,2490,1.61
2490,USA,1.61
USA,2491,1.61
2491,USA,1.61
USA,2492,1.61
2492,USA,1.61
USA,2493,1.61
2493,USA,1.61
USA,2494,1.61
2494,USA,1.61
USA,2495,1.61
2495,USA,1.61
USA,2496,1.61
2496,USA,1.61
USA,2497,1.61
2497,USA,1.61
USA,2498,1.61
2498,USA,1.61
USA,2499,1.61
2499,USA,1.61
USA,2500,1.61
2500,USA,1.61
USA,2501,1.61
2501,USA,1.61
USA,2502,1.61
2502,USA,1.61
USA,2503,1.61
2503,USA,1.61
USA,2504,1.61
2504,USA,1.61
USA,2505,1.61
2505,USA,1.61
USA,2506,1.61
2506,USA,1.61
USA,2507,1.61
2507,USA,1.61
USA,2508,1.61
2508,USA,1.61
USA,2509,1.61
2509,USA,1.61
USA,2510,1.61
2510,USA,1.61
USA,2511,1.61
2511,USA,1.61
USA,2512,1.61
2512,USA,1.61
USA,2513,1.61
2513,USA,1.61
USA,2514,1.61
2514,USA,1.61
USA,2515,1.61
2515,USA,1.61
USA,2516,1.61
2516,USA,1.61
USA,2517,1.61
2517,USA,1.61
USA,2518,1.61
2518,USA,1.61
USA,2519,1.61
2519,USA,1.61
USA,2520,1.61
2520,USA,1.61
USA,2521,1.61
2521,USA,1.61
USA,2522,1.61
2522,USA,1.61
USA,2523,1.61
2523,USA,1.61
USA,2524,1.61
2524,USA,1.61
USA,2525,1.61
2525,USA,1.61
USA,2526,1.61
2526,USA,1.61
USA,2527,1.61
2527,USA,1.61
USA,2528,1.61
2528,USA,1.61
USA,2529,1.61
2529,USA,1.61
USA,2530,1.61
2530,USA,1.61
USA,2531,1.61
2531,USA,1.61
USA,2532,1.61
2532,USA,1.61
USA,2533,1.61
