Timestep,Region,ch4em
USA,2524,113
2524,USA,113
USA,2525,113
2525,USA,113
USA,2526,113
2526,USA,113
USA,2527,113
2527,USA,113
USA,2528,113
2528,USA,113
USA,2529,113
2529,USA,113
USA,2530,113
2530,USA,113
USA,2531,113
2531,USA,113
USA,2532,113
2532,USA,113
USA,2533,113
2533,USA,113
USA,2534,113
2534,USA,113
USA,2535,113
2535,USA,113
USA,2536,113
2536,USA,113
USA,2537,113
2537,USA,113
USA,2538,113
2538,USA,113
USA,2539,113
2539,USA,113
USA,2540,113
2540,USA,113
USA,2541,113
2541,USA,113
USA,2542,113
2542,USA,113
USA,2543,113
2543,USA,113
USA,2544,113
2544,USA,113
USA,2545,113
2545,USA,113
USA,2546,113
2546,USA,113
USA,2547,113
2547,USA,113
USA,2548,113
2548,USA,113
USA,2549,113
2549,USA,113
USA,2550,113
2550,USA,113
USA,2551,113
2551,USA,113
USA,2552,113
2552,USA,113
USA,2553,113
2553,USA,113
USA,2554,113
2554,USA,113
USA,2555,113
2555,USA,113
USA,2556,113
2556,USA,113
USA,2557,113
2557,USA,113
USA,2558,113
2558,USA,113
USA,2559,113
2559,USA,113
USA,2560,113
2560,USA,113
USA,2561,113
2561,USA,113
USA,2562,113
2562,USA,113
USA,2563,113
2563,USA,113
USA,2564,113
2564,USA,113
USA,2565,113
2565,USA,113
USA,2566,113
2566,USA,113
USA,2567,113
2567,USA,113
USA,2568,113
2568,USA,113
USA,2569,113
2569,USA,113
USA,2570,113
2570,USA,113
USA,2571,113
2571,USA,113
USA,2572,113
2572,USA,113
USA,2573,113
2573,USA,113
USA,2574,113
2574,USA,113
USA,2575,113
2575,USA,113
USA,2576,113
2576,USA,113
USA,2577,113
2577,USA,113
USA,2578,113
2578,USA,113
USA,2579,113
2579,USA,113
USA,2580,113
2580,USA,113
USA,2581,113
2581,USA,113
USA,2582,113
2582,USA,113
USA,2583,113
2583,USA,113
USA,2584,113
2584,USA,113
USA,2585,113
2585,USA,113
USA,2586,113
2586,USA,113
USA,2587,113
2587,USA,113
USA,2588,113
2588,USA,113
USA,2589,113
2589,USA,113
USA,2590,113
2590,USA,113
USA,2591,113
2591,USA,113
USA,2592,113
2592,USA,113
USA,2593,113
2593,USA,113
USA,2594,113
2594,USA,113
USA,2595,113
2595,USA,113
USA,2596,113
2596,USA,113
USA,2597,113
2597,USA,113
USA,2598,113
2598,USA,113
USA,2599,113
2599,USA,113
