Region,Region,migrate
alpha,SAS,1
SAS,alpha,1
alpha,SEA,1
SEA,alpha,1
alpha,CHI,1
CHI,alpha,1
alpha,MAF,1
MAF,alpha,1
alpha,SSA,1
SSA,alpha,1
alpha,SIS,1
SIS,alpha,1
,USA,1
USA,,1
,CAN,101.99019513592752
CAN,,101.99019513592752
,WEU,1
WEU,,1
,JPK,1
JPK,,1
,ANZ,1
ANZ,,1
,EEU,1
EEU,,1
,FSU,1
FSU,,1
,MDE,1
MDE,,1
,CAM,1
CAM,,1
,LAM,1
LAM,,1
,SAS,1
SAS,,1
,SEA,1
SEA,,1
,CHI,1
CHI,,1
,MAF,1
MAF,,1
,SSA,1
SSA,,1
,SIS,1
SIS,,1
,USA,1
USA,,1
,CAN,1
CAN,,1
,WEU,101.99019513592752
WEU,,101.99019513592752
,JPK,1
JPK,,1
,ANZ,1
ANZ,,1
,EEU,1
EEU,,1
,FSU,1
FSU,,1
,MDE,1
MDE,,1
,CAM,1
CAM,,1
,LAM,1
LAM,,1
,SAS,1
SAS,,1
,SEA,1
SEA,,1
,CHI,1
CHI,,1
,MAF,1
MAF,,1
,SSA,1
SSA,,1
,SIS,1
SIS,,1
,USA,1
USA,,1
,CAN,1
CAN,,1
,WEU,1
WEU,,1
,JPK,101.99019513592752
JPK,,101.99019513592752
,ANZ,1
ANZ,,1
,EEU,1
EEU,,1
,FSU,1
FSU,,1
,MDE,1
MDE,,1
,CAM,1
CAM,,1
,LAM,1
LAM,,1
,SAS,1
SAS,,1
,SEA,1
SEA,,1
,CHI,1
CHI,,1
,MAF,1
MAF,,1
,SSA,1
SSA,,1
,SIS,1
SIS,,1
,USA,1
USA,,1
,CAN,1
CAN,,1
,WEU,1
WEU,,1
,JPK,1
JPK,,1
,ANZ,101.99019513592752
ANZ,,101.99019513592752
,EEU,1
EEU,,1
,FSU,1
FSU,,1
,MDE,1
MDE,,1
,CAM,1
CAM,,1
,LAM,1
LAM,,1
,SAS,1
SAS,,1
,SEA,1
SEA,,1
,CHI,1
CHI,,1
,MAF,1
MAF,,1
,SSA,1
SSA,,1
,SIS,1
SIS,,1
,USA,1
USA,,1
,CAN,1
CAN,,1
,WEU,1
WEU,,1
,JPK,1
JPK,,1
,ANZ,1
